paradigm,processes,threads,total_cores,grid_size,time_ms
sequential,1,1,1,1000x1000,72
shared,1,1,1,1000x1000,72
shared,1,2,2,1000x1000,27.0726
shared,1,3,3,1000x1000,18.64
shared,1,4,4,1000x1000,16.0256
distributed,1,1,1,1000x1000,72
distributed,2,1,2,1000x1000,16.3845
distributed,3,1,3,1000x1000,11.3357
distributed,4,1,4,1000x1000,19.4301
hybrid,1,1,1,1000x1000,72
hybrid,1,2,2,1000x1000,34.3766
hybrid,1,3,3,1000x1000,34.2134
hybrid,1,4,4,1000x1000,34.6548
hybrid,2,1,2,1000x1000,16.4688
hybrid,2,2,4,1000x1000,18.3798
hybrid,2,3,6,1000x1000,18.0911
hybrid,2,4,8,1000x1000,19.0186
hybrid,3,1,3,1000x1000,13.7915
hybrid,3,2,6,1000x1000,14.4606
hybrid,3,3,9,1000x1000,50.6904
hybrid,3,4,12,1000x1000,49.7545
hybrid,4,1,4,1000x1000,25.8458
hybrid,4,2,8,1000x1000,17.2731
hybrid,4,3,12,1000x1000,35.2651
hybrid,4,4,16,1000x1000,38.9474
