paradigma,procesos,threads_por_proceso,total_threads,tiempo_ms
Secuencial,1,1,1,8312
Compartido,1,1,1,8312
Compartido,1,2,2,1921.62
Compartido,1,4,4,1011.47
Compartido,1,8,8,806.086
Distribuido,1,1,1,8312
Distribuido,2,1,2,1499.2240
Distribuido,4,1,4,802.7460
Distribuido,8,1,8,655.2320
Hibrido,1,1,1,8312
Hibrido,1,2,2,1614.0580
Hibrido,1,4,4,861.5400
Hibrido,1,8,8,723.0050
Hibrido,2,1,2,1594.9290
Hibrido,2,2,4,825.3430
Hibrido,2,4,8,668.3400
Hibrido,2,8,16,719.2790
Hibrido,4,1,4,927.4640
Hibrido,4,2,8,725.1170
Hibrido,4,4,16,653.2150
Hibrido,4,8,32,638.2560
Hibrido,8,1,8,687.2520
Hibrido,8,2,16,660.7170
Hibrido,8,4,32,687.0790
Hibrido,8,8,64,703.7960
